GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer.DeployKeyConfiguration,18,0,0,0,4,0,2,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer.ConfigServerConfiguration,10,0,0,0,2,0,2,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer,70,0,4,0,15,0,8,0,6,0
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer.HealthIndicatorConfiguration,8,0,0,0,2,0,2,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server.util,ResourceUtils,109,0,12,0,15,0,7,0,1,0
spring-cloud-config-server,cn.home1.cloud.config.server.util,EnvironmentUtils,148,0,24,0,35,0,22,0,10,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ConfigSecurity,21,296,5,25,3,64,4,23,1,11
spring-cloud-config-server,cn.home1.cloud.config.server.security,GitFileConfigUserDetailsService,161,0,10,0,31,0,11,0,6,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,Role,34,0,0,0,4,0,1,0,1,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,WebSecurityConfiguration,317,0,0,0,27,0,7,0,7,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ConfigServerSecurityProperties,66,0,4,0,14,0,13,0,11,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ApplicationConfigSecurity,71,0,14,0,12,0,11,0,4,0
spring-cloud-config-server,cn.home1.cloud.config.server.ssh,CustomJschConfigSessionFactory,40,0,2,0,10,0,4,0,3,0
spring-cloud-config-server,cn.home1.cloud.config.server.environment,GitParentSupportConfiguration,23,0,2,0,6,0,3,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server.environment,GitParentSupportMultipleJGitEnvironmentRepository,187,0,20,0,41,0,15,0,5,0
